Country;Estimated Population at Risk of CL
Brazil;148786750
Colombia;44869432
Venezuela;26249248
Peru;20095782
Mexico;11929507
Ecuador;12469102
Guatemala;8991769
Argentina;7970827
Haiti;6559161
Dominican Republic;5910084
Bolivia;5727962
Honduras;5488859
Paraguay;5209033
USA;4438373
El Salvador;4660440
Costa Rica;4243499
Nicaragua;4003127
Panama;3308074
Guyana;651271
Suriname;520165
Guadeloupe;415227
Martinique;368280
Belize;237741
French Guiana;216055
India;319099420
Pakistan;156427700
China;88989808
Egypt;81115232
Iran;60143656
Nigeria;52041104
Bangladesh;44769740
Italy;35991912
Algeria;30969660
Morocco;30282374
Iraq;29738302
Spain;28491340
Saudi Arabia;21682114
Sudan;21327576
Syria;20784102
Yemen;20909202
Turkey;20876026
Ethiopia;20051208
Afghanistan;15616552
DR Congo;13122353
Uzbekistan;12793034
Kenya;12633773
Ghana;12069712
France;10412137
Tunisia;9711311
Cote d'Ivoire;79260723
Sri Lanka;7250986
Greece;6818007
Jordan;6358596
Israel;6241936
Cameroon;6020805
Portugal;5996409
Libya;5716142
Senegal;5869205
Burkina Faso;5379299
Uganda;5133872
Mali;4558003
Nepal;4574548
Turkmenistan;3957351
Tajikistan;3792547
Malawi;3715664
Togo;3708668
Lebanon;3469485
Kashmir;3325686
Azerbaijan;3336433
West Bank;2842185
Niger;2852365
Chad;2634509
Oman;2438769
South Sudan;1632959
Somalia;1554121
Gaza Strip;1515670
Myanmar;1766342
Albania;1451897
Eritrea;1449614
Kuwait;1360076
Georgia;1182311
Armenia;1038948
Gambia;1085648
Guinea;1157852
Mauritania;933688
Central African Republic;873835
South Africa;739913
Djibouti;651927
Kazakhstan;605987
Namibia;538628
Jammu Kashmir;461560
Guinea-Bissau;409057
Cyprus;383121
Bulgaria;373336
Kyrgyzstan;458086
Malta;340932
Croatia;277165
Western Sahara;276087
Macedonia;123064
Thailand;146535
Bosnia and Herzegovina;49072
Dhekelia and Akrotiri SBA;25129
Timor-Leste;7553
